ID;alim_grp_code;alim_ssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_code;alim_nom_eng;Water (g/100g);Protein (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);glucose (g/100g);lactose (g/100g);has_lactose;has_seafood;has_egg
168;1;103;starters and dishes;dishes;9083;Durum wheat pre-cooked, whole grain, cooked, to pan-fry;0;11.1;67.2;1.59;2.64;0;0;0;0;0
169;1;103;starters and dishes;dishes;25019;Ravioli filled with meat, in tomato sauce, canned;79.1;4.22;12.5;2.83;2.23;0.63;0.2;0;0;0
170;1;103;starters and dishes;dishes;25081;Lasagna or cannelloni with meat (bolognese sauce);74.3;6.29;13.5;5.72;2.84;0.58;0.74;0;0;0
171;1;103;starters and dishes;dishes;25085;Bolognese-style pasta (spaghetti, tagliatelle…);69.5;5.32;13.6;4.07;2.64;0.72;0.075;0;0;0
172;1;103;starters and dishes;dishes;25088;Cantonese rice;62.9;5.46;23.6;4.94;1.28;0.075;0.1;0;0;0
173;1;103;starters and dishes;dishes;25110;Dumplings, steamed, with shrimps, cooked;59.4;5.5;27.8;5.5;1.1;0.2;0.2;0;0;0
174;1;103;starters and dishes;dishes;25122;Pasta au gratin (oven grilled);64.7;7.06;16.4;9.2;2.19;0.2;1.47;0;0;0
175;1;103;starters and dishes;dishes;25131;Lasagna or cannelloni with vegetables, ;74;2.75;11;4.85;4.75;1.43;0.1;0;0;0
176;1;103;starters and dishes;dishes;25135;Carbonara-style pasta (spaghetti, tagliatelle…);66;5.91;14.2;8.7;1.79;0.094;0.26;0;0;0
177;1;103;starters and dishes;dishes;25139;Lasagna or cannelloni with fish, ;71.2;7.28;13;7.1;2.03;0.3;0;0;0;0
178;1;103;starters and dishes;dishes;25149;Fresh pasta, stuffed with cheese (e,g, ravioli), cooked;51.3;10;26.8;8.3;4.4;0.17;0.96;0;0;0
179;1;103;starters and dishes;dishes;25150;Couscous with vegetables, ;71.1;4.32;16.4;2.25;2.54;0;0;0;0;0
180;1;103;starters and dishes;dishes;25155;Fresh pasta, stuffed with cheese and vegetables (e,g, ravioli), cooked, ;51.2;7.94;27.8;7.5;3.53;0.39;1.93;0;0;0
181;1;103;starters and dishes;dishes;25157;Fresh pasta, stuffed with meat (e,g, bolognese-style ravioli) raw;35.3;11.4;40.3;5.79;3.91;0.44;0;0;0;0
182;1;103;starters and dishes;dishes;25158;Fresh pasta, stuffed with meat (e,g, bolognese-style ravioli) cooked;60.3;6.94;25.1;4.65;1;0.2;0.4;0;0;0
183;1;103;starters and dishes;dishes;25181;Fresh pasta, stuffed with cheese (e,g, ravioli raw;42.9;11.3;37.3;7.69;3.83;0.5;0.5;0;0;0
184;1;103;starters and dishes;dishes;25182;Fresh pasta, stuffed with cheese and vegetables (e,g, ravioli) raw;37.5;9.98;41.4;5.69;3.46;0.16;0;0;0;0
185;1;103;starters and dishes;dishes;25183;Noodles with shrimps sautéed/pan-fried;76.4;4.88;12.6;3.4;1.7;0.4;0.2;0;0;0
186;1;103;starters and dishes;dishes;25184;White rice, with chicken cooked;0;4.23;31.5;3.19;3.48;0;0;0;0;0
187;1;103;starters and dishes;dishes;25185;White rice, cooked, with vegetables and meat, ;0;4.61;28.3;3.57;1.91;0;0;0;0;0
188;1;103;starters and dishes;dishes;25187;Risotto, w vegetables, ;73.6;2.74;18.4;3.8;0.85;0.18;0.36;0;0;0
189;1;103;starters and dishes;dishes;25188;Risotto, w seafood, ;0;5.47;12.5;6.07;2.02;0;0;0;0;0
190;1;103;starters and dishes;dishes;25189;Risotto, w cheeses, ;0;5.65;30.9;5.16;0.58;0;0;0;0;0
191;1;103;starters and dishes;dishes;25192;Ravioli filled with vegetables, in tomato sauce, canned;78.5;2.88;13.5;2.45;2.83;0.7;0.2;0;0;0
192;1;103;starters and dishes;dishes;25193;Fresh pasta, stuffed with vegetables (e,g, ravioli) cooked;64.6;5.19;20.9;4.9;1.9;0.3;0.8;0;0;0
193;1;103;starters and dishes;dishes;25198;Pasta with cheese sauce (spaghetti, tagliatelle…), ;0;7.17;15.9;7.4;5.85;0;0;0;0;0
194;1;103;starters and dishes;dishes;25203;Fresh pasta, stuffed with vegetables (e,g, ravioli) raw;0;9.4;41.4;5.06;3.14;0;0;0;0;0
